                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  5.332,                  4.064,                 3.8933,                      0,                      0,                      0,                      0,                 5.4698,                 4.5566,                 4.2181,             0.00036436,             0.00036436,             0.00036436
                      2,                 3.6192,                 3.1882,                 2.9902,                0.00779,                0.09125,                0.00673,                0.00264,                 2.3519,                 3.2191,                 3.2468,             0.00069833,             0.00069833,             0.00069833
                      3,                 3.1056,                 2.9337,                 2.4546,                0.41472,                0.05963,                0.00651,                0.00272,                  2.559,                 3.5689,                 2.7759,             0.00099563,             0.00099563,             0.00099563
                      4,                 2.9133,                  2.751,                 2.1241,                0.00704,                0.03673,                0.00367,                0.00075,                 3.8544,                  3.437,                  3.623,             0.00094602,             0.00094602,             0.00094602
                      5,                 2.8927,                 2.7463,                 1.9983,                0.00318,                0.02817,                0.00211,                0.00049,                 3.9495,                 3.9982,                 3.2776,             0.00094602,             0.00094602,             0.00094602
                      6,                 2.8039,                 2.7431,                 1.8987,                0.01146,                0.08132,                0.00768,                0.00212,                  2.935,                 3.2751,                 2.7745,             0.00089102,             0.00089102,             0.00089102
                      7,                 2.7821,                 2.7765,                 1.8506,                0.01146,                0.08132,                0.00768,                0.00212,                 4.5335,                 3.5514,                 3.8784,             0.00083603,             0.00083603,             0.00083603
                      8,                 2.7029,                 2.7238,                 1.7847,                0.01423,                0.09648,                0.00927,                 0.0021,                 3.2594,                 3.2445,                 2.9206,             0.00078103,             0.00078103,             0.00078103
                      9,                 2.7083,                 2.7084,                  1.766,                 0.0025,                0.01214,                0.00162,                0.00018,                 4.1155,                 3.3296,                 3.4552,             0.00072604,             0.00072604,             0.00072604
                     10,                 2.6937,                 2.7051,                 1.7466,                0.00623,                 0.0424,                 0.0036,                0.00064,                 3.6374,                  3.281,                 3.1442,             0.00067104,             0.00067104,             0.00067104
                     11,                 2.4709,                 2.8185,                 1.8042,                 0.0071,                0.04987,                0.00398,                0.00061,                 3.7723,                 3.1298,                 3.2579,             0.00061605,             0.00061605,             0.00061605
                     12,                 2.4177,                 2.7636,                 1.7691,                0.00788,                0.05667,                0.00499,                0.00089,                 3.4005,                 3.1799,                 2.8173,             0.00056105,             0.00056105,             0.00056105
                     13,                 2.3973,                 2.7433,                 1.7458,                0.01074,                0.06535,                0.00656,                0.00134,                  3.426,                   3.22,                  2.917,             0.00050606,             0.00050606,             0.00050606
                     14,                 2.3657,                 2.7258,                 1.7326,                0.01253,                0.07717,                0.00874,                0.00183,                 3.4071,                 3.3468,                 2.9606,             0.00045107,             0.00045107,             0.00045107
                     15,                 2.3406,                 2.7104,                 1.7049,                0.00679,                0.03509,                0.00405,                0.00057,                  3.767,                   3.26,                 3.3245,             0.00039607,             0.00039607,             0.00039607
                     16,                 2.3414,                 2.6909,                 1.7008,                0.00353,                 0.0235,                0.00207,                0.00034,                 3.7082,                 3.3015,                 3.1952,             0.00034108,             0.00034108,             0.00034108
                     17,                 2.3103,                 2.6747,                 1.6817,                0.01325,                0.07831,                0.00853,                0.00159,                 3.3501,                 3.2412,                 2.9057,             0.00028608,             0.00028608,             0.00028608
                     18,                 2.2859,                 2.6658,                 1.6813,                0.00816,                0.05912,                0.00513,                0.00085,                 3.5619,                 3.3769,                 3.1455,             0.00023109,             0.00023109,             0.00023109
                     19,                  2.275,                 2.6461,                 1.6659,                0.00552,                0.04144,                0.00341,                0.00065,                 3.5655,                 3.2984,                  3.174,             0.00017609,             0.00017609,             0.00017609
                     20,                 2.2607,                 2.6363,                 1.6764,                0.01148,                0.07821,                0.00809,                 0.0014,                 3.3347,                 3.2579,                 2.9195,              0.0001211,              0.0001211,              0.0001211
